created_at,lt,lb,kt,km,garasi,carport,lokasi,sertifikat,listrik,hadap,harga,url,deskripsi,kota
2021-12-07,84,42,2,1,0,1,Parung,SHM,1300.0,,500000000,https://www.rumah.com/listing-properti/dijual-casa-green-residence-parung-oleh-lilly-andalusiana-19396271,"Keamanan 24 jam, dekat dengan lembaga pendidikan (SDN Parung, Universitas Pamulang), dekat dengan pusat perbelanjaan",Bogor
2021-12-07,84,36,2,1,0,1,Parung,SHM,1300.0,,599000000,https://www.rumah.com/listing-properti/dijual-kemang-eminence-bogor-oleh-aditya-santoso-19253196,"Keamanan 24 jam, dekat dengan stastiun Cilebut, pemandangan hijau",Bogor
2021-12-07,98,49,2,1,0,1,Bogor Utara,SHM,1300.0,,925045000,https://www.rumah.com/listing-properti/dijual-vinca-village-oleh-roni-17724382,"Keamanan 24 jam, dekat dengan Tol Babakan Madang Barat, sekolah Alam Bogor, Rumah Sakit PMI",Bogor
2021-12-07,144,72,3,1,0,1,Bogor Utara,SHM,1300.0,,1621400000,https://www.rumah.com/listing-properti/dijual-nusa-indah-residence-oleh-roni-17750341,"Keamanan 24 jam, dekat dengan Tol Babakan Madang Barat, sekolah Alam Bogor, Rumah Sakit PMI",Bogor
2021-12-07,91,42,2,1,0,1,Parung,SHM,1300.0,,488500000,https://www.rumah.com/listing-properti/dijual-siapa-cepat-dia-dapat-rumah-cantik-free-biaya-biaya-oleh-danny-eka-saputra-19372601,"Rumah siap huni, keamanan 24 jam, dekat jalan raya Parung",Bogor
2021-12-07,108,69,3,2,0,1,Gunung Putri,SHM,1300.0,,795000000,https://www.rumah.com/listing-properti/dijual-rumah-cluster-ciangsana-strategis-dekat-kota-wisata-gunung-putri-bogor-oleh-denny-ahmad-setiawan-19293587,Keamanan 24 jam,Bogor
2021-12-07,66,37,2,1,0,1,Ciseeng,SHM,1300.0,,221000000,https://www.rumah.com/listing-properti/dijual-hanya-200-jutaan-punya-rumah-megah-dan-mewah-di-griya-pesona-madani-oleh-rival-19396469,"Keamanan 24 jam, dekat dengan tempat ibadah (masjid dan gereja), dekat dengan lembaga pendidikan dan rumah sakit",Bogor
2021-12-07,62,36,2,1,0,1,Bojonggede,SHM,1300.0,,239999999,https://www.rumah.com/listing-properti/dijual-promo-jual-rumah-baru-kualitas-internasional-oleh-siti-maisyaroh-19234617,"Dekat dengan kantor pemerintah daerah, tempat ibadah, dan lembaga pendidikan",Bogor
2021-12-07,60,50,2,1,0,1,Bogor Timur,SHGB,1300.0,,205000000,https://www.rumah.com/listing-properti/dijual-rumah-nyaman-full-renovasi-strategis-di-citra-indah-city-oleh-betty-19031147,Rumah nyaman full renovasi strategis di Citra Indah City,Bogor
2021-12-07,210,150,4,2,0,2,Ciomas,SHM,2200.0,,1400000000,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-full-furnished-shm-dekat-stasiun-bogor-oleh-nina-meiyanne-19158830,Rumah full furnished SHM dekat Stasiun Bogor BU,Bogor
2021-12-07,156,72,4,3,0,1,Ciampea,SHM,1300.0,,650000000,https://www.rumah.com/listing-properti/dijual-jual-cepat-rumah-kampung-3-lantai-bu-siap-huni-non-kpr-dekat-ipb-oleh-nina-meiyanne-19252052,Rumah 3 lantai siap huni dekat kampus IPB,Bogor
2021-12-07,255,219,6,5,0,2,Bogor Utara,SHM,2200.0,,2500000000,https://www.rumah.com/listing-properti/dijual-jual-rumah-hanya-500m-dari-pintu-toll-tanah-baru-plus-full-furnished-oleh-nina-meiyanne-19296396,"Full furnish, dekat pintu tol tanah baru di perumahan nurul ikhwan bogor",Bogor
2021-12-07,60,39,2,1,0,1,Parung,SHGB,2200.0,,633150000,https://www.rumah.com/listing-properti/dijual-grand-duta-city-south-of-jakarta-oleh-agus-susanto-19227288,"Rumah modern dikawasan hijau, dekat 3 tol",Bogor
2021-12-07,66,60,3,2,0,2,Cibinong,SHM,2200.0,,550000000,https://www.rumah.com/listing-properti/dijual-samarra-regency-kota-cibinong-bogor-oleh-padil-19396998,Dekat pintu tol Babakan Madang sirkuit-bogor,Bogor
2021-12-07,66,36,2,1,0,1,Tajurhalang,SHM,1300.0,,377684362,https://www.rumah.com/listing-properti/dijual-tajur-halang-bogor-oleh-zainal-arifin-19273857,"15 menit ke stasiun bojong gede, Dekat SMAN 1 Tajur halang, Dekat SMKN 1 Tajur halang, 200m kantor kecamatan tajur halang, Dekat wisata alam danau tonjong & danau kemuning",Bogor
2021-12-07,270,150,5,4,0,1,Bogor Timur,SHM,2200.0,,1850000000,https://www.rumah.com/listing-properti/dijual-perumahan-baranangsiang-bogor-oleh-rufi-yenuartik-18988176,"Dekat mall, dekat terminal",Bogor
